Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2017;78,2
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2016;102,0
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2023;85,3
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2022;46,7
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2021;25,1
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2020;33,5
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2019;98,6
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2018;86,5
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2017;89,4
TOTAL (Millones de euros);Castilla-La Mancha;Servicios culturales;2016;90,4
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;115,6
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;116,8
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;95,5
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;110,0
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;101,2
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;106,7
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;111,8
TOTAL (Millones de euros);Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;124,3
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2023;175,1
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2022;170,8
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2021;153,7
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2020;175,8
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2019;203,3
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2018;193,5
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2017;203,0
TOTAL (Millones de euros);Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2016;209,0
TOTAL (Millones de euros);Cataluña;Libro y publicaciones periódicas;2023;327,8
