Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2020;49,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2019;69,4
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2018;83,0
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2017;73,3
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2016;113,9
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2023;8,1
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2022;9,8
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2021;12,7
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2020;7,9
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2019;11,3
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2018;17,5
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2017;20,4
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2016;29,4
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2023;68,0
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2022;46,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2021;58,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2020;48,6
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2019;85,4
